Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23392,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: netfilter: nf_tables: release flowtable after rcu grace period on error,https://avd.aquasec.com/nvd/cve-2026-23392
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23401,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Linux kernel KVM: Privilege escalation or denial of service due to improper shadow page table entry handling,https://avd.aquasec.com/nvd/cve-2026-23401
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23427,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ksmbd: fix use-after-free in durable v2 replay of active file handles,https://avd.aquasec.com/nvd/cve-2026-23427
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23428,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ksmbd: fix use-after-free of share_conf in compound request,https://avd.aquasec.com/nvd/cve-2026-23428
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23447,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: net: usb: cdc_ncm: add ndpoffset to NDP32 nframes bounds check,https://avd.aquasec.com/nvd/cve-2026-23447
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-23455,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: netfilter: nf_conntrack_h323: check for zero length in DecodeQ931(),https://avd.aquasec.com/nvd/cve-2026-23455
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31402,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: nfsd: fix heap overflow in NFSv4.0 LOCK replay cache,https://avd.aquasec.com/nvd/cve-2026-31402
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31408,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Bluetooth: SCO: Fix use-after-free in sco_recv_frame() due to missing sock_hold,https://avd.aquasec.com/nvd/cve-2026-31408
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31411,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: net: atm: fix crash due to unvalidated vcc pointer in sigd_send(),https://avd.aquasec.com/nvd/cve-2026-31411
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31419,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: Linux kernel: Use-after-free in bonding driver leads to denial of service,https://avd.aquasec.com/nvd/cve-2026-31419
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31435,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: netfs: Fix read abandonment during retry,https://avd.aquasec.com/nvd/cve-2026-31435
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31436,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: dmaengine: idxd: fix possible wrong descriptor completion in llist_abort_desc(),https://avd.aquasec.com/nvd/cve-2026-31436
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31438,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: netfs: Fix kernel BUG in netfs_limit_iter() for ITER_KVEC iterators,https://avd.aquasec.com/nvd/cve-2026-31438
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31446,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ext4: fix use-after-free in update_super_work when racing with umount,https://avd.aquasec.com/nvd/cve-2026-31446
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31448,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ext4: avoid infinite loops caused by residual data,https://avd.aquasec.com/nvd/cve-2026-31448
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31449,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ext4: validate p_idx bounds in ext4_ext_correct_indexes,https://avd.aquasec.com/nvd/cve-2026-31449
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31450,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: ext4: publish jinode after initialization,https://avd.aquasec.com/nvd/cve-2026-31450
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31453,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: xfs: avoid dereferencing log items after push callbacks,https://avd.aquasec.com/nvd/cve-2026-31453
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31454,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: xfs: save ailp before dropping the AIL lock in push callbacks,https://avd.aquasec.com/nvd/cve-2026-31454
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31456,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: mm/pagewalk: fix race between concurrent split and refault,https://avd.aquasec.com/nvd/cve-2026-31456
fairdatasystems/sevexternal:2026-04-24 (debian 13.4),CVE-2026-31464,linux-libc-dev,6.12.74-2,N/A,HIGH,kernel: scsi: ibmvfc: Fix OOB access in ibmvfc_discover_targets_done(),https://avd.aquasec.com/nvd/cve-2026-31464
